[2025-07-14T14:41:17.999Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2c396660-1df3-4f08-afbc-28700867c62b&response_mode=fragment&response_type=code&scope=openid&nonce=a683337c-9a09-46df-a111-2893e98ab0f4 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T14:41:18Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2c396660-1df3-4f08-afbc-28700867c62b&response_mode=fragment&response_type=code&scope=openid&nonce=a683337c-9a09-46df-a111-2893e98ab0f4 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T14:41:29.952Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:41:31.977Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:41:34.022Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:41:36.091Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:41:38.130Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:41:40.171Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T14:41:42.214Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MDQzNzksImlhdCI6MTc1MjUwNDA3OSwiYXV0aF90aW1lIjoxNzUyNTA0MDc4LCJqdGkiOiJhMDg2ZTk4MC0wYWE0LTQzNmEtYTZlZC1mMTJlZDdmNDgyN2YiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ls4bBy97D3M7uqb0vGCjEiEJgYPTlMVFhQx6h9Uyzt3apJPiaottRF7Xdd3OFyuMNy6MCCMopFOZtqwgJEANNnFFU470pc1JhJi-A9Db8tJ0H320XD9o9zKgrUrUI_IOC3hBz8-P9OJGOd9LFPRhfCaffxmhjfewbsGmKeSrBTRfBF9caJ3stKBYaCaMYH72it5TfLBlKGjY0UErBj1z6eSCydHL2RVu679GeCKIKwPLUwY7Y3sXDSrRQYGnY8peafQHHX1sLyVegHyV5quriw5DspnjDMmsisCRoYOFUtEXvllRqKd3oI7DkRXceR9kLzCWBTMapwX1tZ61cbXMbw' failed: Establishing a tunnel via proxy server failed.

